Development log 
      
   Date      Time      Duration (h)      700012146            700011062
14/02/2022    13:40        0.75          Scheduling           Scheduling
15/02/2022    19:00         1.5          git / OO Design      OO Design / Driver
16/02/2022    13:45        1.75          Driver               Observer
17/02/2022    12:40        1.75          Observer             Driver
18/02/2022    13:35        1.85          Driver               Observer
19/02/2022    15:35        1.9           Observer             Driver
20/02/2022    16:20        1.9           Driver / OO Design   Observer / OO Design
21/02/2022    18:35        1.969832      Observing            Driver
22/02/2022    18:40        1.843333      Driver               Observer
23/02/2022    15:35        1             Observing            Driving
